n_signals,hr,excess_hr,avg_ev_usd,median_hold_min,compounding,trades_per_month,regime
736,0.1480978260869565,-0.35380607864857383,3.853193304690597,13.0,-151.00983286975602,136.29629629629628,Q1_low
621,0.09339774557165861,-0.4085061591638718,3.7600720868214266,14.0,-157.98986808343253,117.9113924050633,Q2
638,0.045454545454545456,-0.4564493592809849,3.7269298699837146,11.0,-222.69662198040842,136.7142857142857,Q3
685,0.05547445255474453,-0.44642945218078584,3.735581787268525,8.0,-300.1812715560255,145.74468085106383,Q4_high
