n_signals,hr,excess_hr,avg_ev_usd,median_hold_min,compounding,trades_per_month,direction,threshold,dynamic_sizing,ewma,fee_aware,late_entry_frac
7962,0.21301180607887465,-0.285084289185595,10.402881660885393,12.0,-355.8837748530449,1421.7857142857144,NO,0.06,True,False,False,0.0
7315,0.2202323991797676,-0.277863696084702,10.312615510306326,13.0,-317.40939271319724,1306.25,NO,0.06,True,False,False,0.25
7177,0.21972969207189633,-0.27836640319257333,10.326771993176033,13.0,-318.4201524550391,1281.607142857143,NO,0.06,True,False,False,0.33
7676,0.19867118290776445,-0.2994249123567052,10.754262657359298,12.0,-386.4112984368955,1370.7142857142858,NO,0.06,True,False,True,0.0
7036,0.2048038658328596,-0.29329222943161004,10.682954730969936,13.0,-347.0652121805323,1256.4285714285716,NO,0.06,True,False,True,0.25
6905,0.20434467776973209,-0.29375141749473754,10.695127063139832,13.0,-348.00465988618953,1233.0357142857144,NO,0.06,True,False,True,0.33
7988,0.21094141211817727,-0.28715468314629233,10.346942063546086,12.0,-356.54074437487446,1426.4285714285716,NO,0.06,True,True,False,0.0
7332,0.21835788325150027,-0.27973821201296933,10.272709473401866,13.0,-318.3141467761621,1309.2857142857144,NO,0.06,True,True,False,0.25
7188,0.21800222593210908,-0.2800938693323606,10.29539471776336,13.0,-319.4226767411763,1283.5714285714287,NO,0.06,True,True,False,0.33
7692,0.19617784711388456,-0.3019182481505851,10.707583891096332,12.0,-387.93779643902764,1373.5714285714287,NO,0.06,True,True,True,0.0
7043,0.20275450802214964,-0.29534158724231996,10.654200823834442,13.0,-348.5496275567665,1257.6785714285716,NO,0.06,True,True,True,0.25
6903,0.20208604954367665,-0.296010045720793,10.680165884614432,13.0,-350.18987724668733,1232.6785714285716,NO,0.06,True,True,True,0.33
7441,0.1954038435694127,-0.3026922516950569,5.834357089544815,12.0,-211.92176215528065,1328.75,NO,0.08,False,False,False,0.0
6841,0.20055547434585586,-0.2975406209186138,5.780911179487904,13.0,-190.52926912469763,1221.607142857143,NO,0.08,False,False,False,0.25
6717,0.19979157361917524,-0.2983045216452944,5.783714847658216,13.0,-191.1110722297999,1199.4642857142858,NO,0.08,False,False,False,0.33
7150,0.1806993006993007,-0.3173967945651689,5.995742845933899,12.0,-228.36354724037554,1276.7857142857144,NO,0.08,False,False,True,0.0
6554,0.18523039365273117,-0.31286570161173843,5.9521666855736175,13.0,-206.27765237819142,1170.357142857143,NO,0.08,False,False,True,0.25
6431,0.18426372259368684,-0.3138323726707828,5.957789895868085,13.0,-207.11047446213752,1148.392857142857,NO,0.08,False,False,True,0.33
7453,0.19374748423453642,-0.3043486110299332,5.816139461384276,12.0,-212.4160759954426,1330.8928571428573,NO,0.08,False,True,False,0.0
6856,0.19894982497082847,-0.29914627029364116,5.763166188428139,13.0,-190.9694404080773,1224.2857142857144,NO,0.08,False,True,False,0.25
6727,0.1983053367028393,-0.2997907585616303,5.769472780496836,13.0,-191.59029652052217,1201.25,NO,0.08,False,True,False,0.33
7159,0.17893560553149881,-0.31916048973297084,5.978103571452432,12.0,-228.95693562470163,1278.392857142857,NO,0.08,False,True,True,0.0
6569,0.18374181762825392,-0.3143542776362157,5.933151790684244,12.0,-223.81339743198782,1173.0357142857144,NO,0.08,False,True,True,0.25
6442,0.1828624650729587,-0.31523363019151096,5.9418809112195445,13.0,-207.4797071788852,1150.357142857143,NO,0.08,False,True,True,0.33
7441,0.1954038435694127,-0.3026922516950569,11.05623913628061,12.0,-401.5965503327747,1328.75,NO,0.08,True,False,False,0.0
6841,0.20055547434585586,-0.2975406209186138,10.952679974668177,13.0,-360.9822129657936,1221.607142857143,NO,0.08,True,False,False,0.25
6717,0.19979157361917524,-0.2983045216452944,10.960143340127592,13.0,-362.15560426049956,1199.4642857142858,NO,0.08,True,False,False,0.33
7150,0.1806993006993007,-0.3173967945651689,11.440394817252924,12.0,-435.7373572267259,1276.7857142857144,NO,0.08,True,False,True,0.0
6554,0.18523039365273117,-0.31286570161173843,11.361394731587993,13.0,-393.73928130308525,1170.357142857143,NO,0.08,True,False,True,0.25
