variant,n_signals,n_flip_exits,flip_exit_pct,hit_rate,avg_pnl,total_pnl,avg_hold_s,hr_low,pnl_low,flips_low,hr_mid,pnl_mid,flips_mid,hr_high,pnl_high,flips_high,delta_vs_baseline
"thr=0.25,delay=3",15934,907,5.692230450608761,0.8443579766536965,0.10878906591237901,1733.444976247847,273.20955190159407,0.7917459109927729,0.12384385619342282,289,0.8600959763750461,0.1062369862332082,206,0.8807531380753139,0.09636401463889462,412,0.0022033386006558575
"thr=0.35,delay=5",15934,1914,12.012049705033263,0.8543993975147484,0.10863141575471658,1730.9329786356539,269.2334002761391,0.7955496386458729,0.12453233090414605,532,0.8682170542635659,0.10611701585406051,458,0.899011030810194,0.09532141324540777,924,0.0020456884429934236
"thr=0.20,delay=1",15934,646,4.05422367264968,0.8367641521275261,0.1085325703792881,1729.3579764235765,274.4919668633112,0.7883225561049829,0.12317630196838279,232,0.8556662975267626,0.10587522910200348,138,0.8657284138455686,0.09662704248747907,276,0.0019468430675649434
"thr=0.25,delay=1",15934,995,6.244508597966612,0.8302372285678423,0.10849868063560686,1728.8179772477597,272.92726245763777,0.7887029288702929,0.12418048611401764,314,0.8510520487264673,0.10600424353438974,234,0.8503233168505135,0.09538721753345974,447,0.0019129533238837065
time_adaptive,15934,1368,8.585414836199321,0.8259696247018953,0.10846792883143246,1728.3279780000448,271.2592569348563,0.7902244199315329,0.12486135329910901,393,0.851421188630491,0.10629604869250905,317,0.8354887790034233,0.09431247442702845,658,0.0018822015197093034
"thr=0.35,delay=3",15934,2054,12.890674030375298,0.8415338270365257,0.10783155374925664,1718.1879774406552,268.79716329860673,0.7966907569418029,0.12550037956632568,562,0.8569582871908453,0.10525138269843112,500,0.8704830734119438,0.09282141312681912,992,0.001245826437533487
"thr=0.30,delay=1",15934,1506,9.451487385465043,0.8186268356972511,0.10782395996556884,1718.066978091374,270.9816116480482,0.7875618105743629,0.12440110236008149,425,0.8420081210778885,0.10544684234265363,365,0.8255990871053632,0.09369627045826705,716,0.0012382326538456917
"thr=0.35,delay=2",15934,2143,13.449228065771306,0.8177482113719091,0.1071882125246698,1707.9369783680886,268.52140077821014,0.7885127424876379,0.1257704443086793,588,0.8409007013658176,0.10473790909921707,522,0.8231266641308482,0.09113084646129606,1033,0.0006024852129466463
"thr=0.35,delay=1",15934,2215,13.90109200451864,0.7985439939751475,0.10658572731172315,1698.3369789849967,268.2244885151249,0.7852795739825028,0.12590737857552264,602,0.8294573643410853,0.1043798434577302,544,0.7799543552681628,0.08953708455323629,1069,0.0
no_flip_stop,15934,0,0.0,0.8378938119743944,0.10626954783816753,1693.2989752533613,278.25975900589935,0.7782426778242678,0.11676530907344242,0,0.858250276854928,0.10542709324110111,0,0.8765690376569037,0.09664187694273779,0,-0.00031617947355562503
"thr=0.40,delay=1",15934,3079,19.323459269486634,0.7651562696121501,0.10343749078629613,1648.1729781888425,264.58026860800805,0.7778623050589578,0.12610707421970938,833,0.8028792912513842,0.10209505198865128,771,0.7135793077215672,0.0821511963231453,1475,-0.00314823652542702
sigma_adaptive,15934,2790,17.509727626459146,0.7379816744069286,0.09870942520148125,1572.8359811604023,263.7141960587423,0.7504754659566375,0.11254640438049442,658,0.7484311554078996,0.09644850399847091,923,0.7147204260174972,0.0872021666534894,1209,-0.0078763021102419
"thr=0.45,delay=1",15934,3930,24.664239989958578,0.7175850382829171,0.09800200709890519,1561.5639811139554,260.47326471695743,0.7558006846709776,0.12372004501797902,1106,0.7620893318567737,0.09711904617575821,1048,0.6335108406238114,0.07319379844601819,1776,-0.00858372021281796
