threshold,n_total,n_suppressed,n_allowed,pct_suppressed,hr_baseline,hr_suppressed,hr_allowed,hr_improvement,filter_quality_ratio,pnl_baseline,pnl_allowed,pnl_per_trade_change,pnl_total_impact,flip_rate_suppressed,flip_rate_allowed,avg_gbm_dev_suppressed
0.0005,15933,8117,7816,50.94458043055294,0.8001004205108894,0.8223481581865221,0.7769959058341863,-0.023104514676703047,1.0583687147021006,0.1078654350594237,0.09009928179250891,-0.01776615326691479,-1014.4039903115481,0.11469754835530369,0.1636386898669396,0.12897282586447462
0.001,15933,12740,3193,79.95983179564426,0.8001004205108894,0.8156985871271586,0.7378640776699029,-0.06223634284098645,1.1054862430802281,0.1078654350594237,0.08029032064117013,-0.02757511441825357,-1462.2529829945415,0.11993720565149137,0.21359223300970873,0.1500576767945873
0.0015,15933,14561,1372,91.38894119123832,0.8001004205108894,0.8107272852139276,0.6873177842565598,-0.1127826362543296,1.1795523174056295,0.1078654350594237,0.07216034809795395,-0.03570508696146975,-1619.615979211405,0.12753244969438912,0.25728862973760935,0.16034183550656753
0.002,15933,15226,707,95.56266867507688,0.8001004205108894,0.8060554314987521,0.6718528995756718,-0.12824752093521752,1.1997498738307741,0.1078654350594237,0.06971145530864913,-0.03815397975077457,-1669.3339778985828,0.13306186785761198,0.26025459688826025,0.1647650849809676
0.003,15933,15700,233,98.53762631017385,0.8001004205108894,0.802547770700637,0.6351931330472103,-0.1649072874636791,1.2634704768462732,0.1078654350594237,0.06430901081776925,-0.04355642424165444,-1703.6359772812575,0.1362420382165605,0.30472103004291845,0.16891643740882895
