vol_thr,flat_thr,n_suppressed,pct_suppressed,hr_allowed,hr_improvement,pnl_allowed,pnl_per_trade_change,pnl_total_impact,fqr_combined
4.0,0.0005,8137,51.07010606916462,0.7768086198050282,-0.02329180070586112,0.08974294337597397,-0.018122491683449732,-1018.9839902427047,1.0587113774368238
3.0,0.0005,8165,51.24584196322099,0.7766477857878475,-0.02345263472304182,0.08944078094789223,-0.018424654111531463,-1023.8439903985709,1.0589262627705205
2.0,0.0005,8348,52.39440155651792,0.7765326301911668,-0.02356779031972256,0.08896334696421124,-0.01890208809521246,-1043.8329900782555,1.057926097606413
2.5,0.0005,8214,51.55337977781962,0.7763959062054671,-0.02370451430542231,0.08923642785766302,-0.01862900720176068,-1029.803990168497,1.0592230380293932
1.5,0.0005,8786,55.14341304211385,0.7747306562193927,-0.02536976429149662,0.08841135966034724,-0.019454075399076454,-1086.743989309296,1.0593843555846663
4.0,0.001,12752,80.03514717881127,0.7378182961332914,-0.06228212437759795,0.07982615332995448,-0.02803928172946922,-1464.6929830592126,1.1054710450191627
3.0,0.001,12770,80.14812025356179,0.7375908947202023,-0.06250952579068703,0.07948687752939047,-0.028378557530033224,-1467.2029831763357,1.1057395155343257
2.5,0.001,12795,80.3050273018264,0.737093690248566,-0.0630067302623234,0.07921510314422857,-0.02865033191519513,-1470.0429831352085,1.1064440805295923
2.0,0.001,12856,80.68788049959204,0.7367565810854728,-0.06334383942541655,0.07846831126930964,-0.029397123790114055,-1477.172983026132,1.1065545629248308
1.5,0.001,13013,81.67325676269378,0.7318493150684932,-0.06825110544239621,0.07738527203463529,-0.030480163024788412,-1492.6549824606627,1.1141847605617807
4.0,0.0015,14573,91.46425657440533,0.6867647058823529,-0.11333571462853642,0.07100293935714837,-0.03686249570227533,-1622.055979276076,1.1804294439674672
3.0,0.0015,14582,91.52074311178058,0.6861584011843079,-0.11394201932658143,0.0699363416081486,-0.0379290934512751,-1624.135979289189,1.1814429043683623
2.5,0.0015,14595,91.60233477687818,0.6846038863976084,-0.11549653411328098,0.0694872925840374,-0.038378142475386304,-1625.6459793243557,1.1841717642729235
2.0,0.0015,14620,91.75924182514278,0.6831683168316832,-0.11693210367920615,0.06891393567586526,-0.038951499383558436,-1628.1359792593867,1.1865332381688771
1.5,0.0015,14687,92.17975271449194,0.6757624398073836,-0.12433798070350577,0.06809149105191518,-0.03977394400750851,-1633.7779789511114,1.1996062897254136
4.0,0.002,15235,95.61915521245214,0.667621776504298,-0.13247864400659137,0.06665615884741945,-0.04120927621200425,-1672.093977926299,1.2075250263750597
3.0,0.002,15242,95.66308918596623,0.6671490593342981,-0.13295136117659123,0.06539218356312615,-0.04247325149629755,-1673.4339779596776,1.2083173819572075
2.5,0.002,15249,95.70702315948033,0.6666666666666666,-0.13343375384422274,0.06473099235554187,-0.04313444270388182,-1674.343978030607,1.209128467440488
2.0,0.002,15262,95.78861482457792,0.6646795827123696,-0.13542083779851977,0.06422652581764937,-0.043638909241774326,-1675.523977978155,1.2126959716473928
1.5,0.002,15299,96.02083725600954,0.6545741324921136,-0.14552628801877576,0.06332018776364882,-0.04454524729577487,-1678.4749777596444,1.2315352527175174
3.0,0.003,15708,98.58783656561853,0.6266666666666667,-0.17343375384422266,0.05526222027010388,-0.05260321478931982,-1706.1859772410244,1.2807202184548867
4.0,0.003,15706,98.57528400175735,0.6255506607929515,-0.17454975971793785,0.05697797150207511,-0.050887463557348585,-1705.6859772708267,1.2830666669058026
2.5,0.003,15711,98.60666541141028,0.6216216216216216,-0.17847879888926776,0.05290089879889746,-0.05496453626052624,-1706.8759772684425,1.2911751113177419
2.0,0.003,15716,98.6380468210632,0.6175115207373272,-0.18258889977356219,0.051861748957688907,-0.05600368610173479,-1707.3659772779793,1.299767705124163
1.5,0.003,15730,98.72591476809139,0.5960591133004927,-0.2040413072103967,0.047600983325483764,-0.06026445173393993,-1708.9569771867245,1.346734932985872
